JUGADOR;POS;PJ;PI;MIN;PTS;RB;TP;AS;TC;T3;TL;BR;BP;FP;EF;OR;DR;v;Derrota;PF;PC;Equipo;Edad;Altura;FGM;FGA;FTM;FTA;;;;;;;;;;;;;
D. Schröder;B/ES;67;67;31;19,4;3,1;0,1;6,2;0,44;0,29;0,85;1,1;2,7;2,2;16,9;0,7;2,4;24;58;103,4;108,8;ATL;24;185,42;7,5;17,1;3,4;4;;;;;;;;;;;;;
T. Prince;AL/AP;82;82;30;14,1;4,7;0,5;2,6;0,43;0,39;0,84;1;2,3;2;13,5;0,6;4,1;24;58;103,4;108,8;ATL;24;203,2;5,1;11,9;1,9;2,2;;;;;;;;;;;;;
K. Bazemore;ES/AL;65;65;27,5;12,9;3,8;0,7;3,5;0,42;0,39;0,80;1,5;2,4;2,3;13,3;0,4;3,4;24;58;103,4;108,8;ATL;28;195,58;4,4;10,4;2,5;3,1;;;;;;;;;;;;;
M. Belinelli;ES/AL;52;1;23,3;11,4;1,9;0,1;2;0,41;0,37;0,93;0,9;1;0,8;9,5;0,7;4;24;58;103,4;108,8;ATL;32;195,58;3,8;9,3;1,9;2,1;;;;;;;;;;;;;
E. Ilyasova;P/AP;46;40;25,5;10,9;5,5;0,4;1,1;0,46;0,36;0,80;1;0,9;2;12,7;1,6;3,8;24;58;103,4;108,8;ATL;31;208,28;4;8,7;1,6;2;;;;;;;;;;;;;
D. Lee;ES;15;11;26,9;10,7;4,7;0,1;1,9;0,41;0,25;0,76;1,3;0,9;1,7;11,3;1,6;6,3;24;58;103,4;108,8;ATL;25;198,12;4,1;10,1;1,5;1,9;;;;;;;;;;;;;
J. Collins;P/AP;74;26;24,1;10,5;7,3;1,1;1,3;0,58;0,34;0,72;0,6;1,4;2,9;15,6;2,4;4,9;24;58;103,4;108,8;ATL;20;208,28;4,2;7,4;1,8;2,5;;;;;;;;;;;;;
D. Dedmon;P;62;46;24,9;10;7,9;0,8;1,5;0,52;0,36;0,78;0,6;1,4;2,6;15,4;0,3;1,7;24;58;103,4;108,8;ATL;28;213,36;4;7,7;1,1;1,4;;;;;;;;;;;;;
M. Muscala;P;53;7;20;7,6;4,3;0,5;1;0,46;0,37;0,92;0,6;0,8;1,5;10;1,1;3,3;24;58;103,4;108,8;ATL;26;210,82;2,7;5,9;1,1;1,2;;;;;;;;;;;;;
T. Dorsey;B/ES;56;5;17,4;7,2;2,3;0,1;1,4;0,38;0,36;0,71;0,3;0,7;1,1;6,1;0,2;1,7;24;58;103,4;108,8;ATL;22;195,58;2,6;6,8;0,8;1,1;;;;;;;;;;;;;
I. Taylor;B;67;9;17,4;6,6;1,4;0,1;3,1;0,42;0,25;0,70;0,5;1,3;1,7;6,5;0,3;2,5;24;58;103,4;108,8;ATL;23;190,5;2,4;5,8;1,5;2,1;;;;;;;;;;;;;
M. Delaney;B/ES;54;3;18,8;6,3;1,9;0,1;3;0,38;0,37;0,80;0,6;1,2;1,5;7,1;0,3;1,1;24;58;103,4;108,8;ATL;29;190,5;2;5,3;1,4;1,7;;;;;;;;;;;;;
L. Babbitt;AL/AP;37;9;15,4;6,1;2,2;0,1;0,7;0,48;0,44;0,77;0,2;0,4;1,3;6,4;0,3;2;24;58;103,4;108,8;ATL;23;185,42;2,2;4,5;0,5;0,6;;;;;;;;;;;;;
D. Bembry;AL;26;3;17,5;5,2;2,8;0,5;1,9;0,41;0,37;0,58;0,8;1,8;1,5;5,9;1,4;2,7;24;58;103,4;108,8;ATL;23;198,12;2;4,9;0,7;1,3;;;;;;;;;;;;;
T. Cavanaugh;AP;39;1;13,3;4,7;3,3;0,1;0,7;0,44;0,36;0,81;0,2;0,4;1,6;6,3;0,3;2,3;24;58;103,4;108,8;ATL;24;205,74;1,7;3,9;0,4;0,5;;;;;;;;;;;;;
J. Morris;ES;6;0;16,3;4,7;2,7;0,2;1,2;0,41;0,20;0,00;0,3;1;0,3;4,8;0,1;2,1;24;58;103,4;108,8;ATL;22;195,58;2,2;5,3;0;0;;;;;;;;;;;;;
